epoch,train_mel_loss,train_dur_loss,train_pitch_loss,train_periodicity_loss,val_mel_loss,val_dur_loss,val_pitch_loss,val_periodicity_loss,val_total_loss,val_happy_mel_loss,val_happy_pitch_loss,val_sad_mel_loss,val_sad_pitch_loss,val_surprise_mel_loss,val_surprise_pitch_loss,val_neutral_mel_loss,val_neutral_pitch_loss,val_angry_mel_loss,val_angry_pitch_loss,elapsed,elapsed_total,lr
1,1.6823075742493545,1.1626598068076222,0.38857478926474265,0.09196114838093257,1.043360653213675,0.3022601143488866,0.17260021293117972,0.06520731109460044,1.5834282915883418,1.04377181374024,0.1741311157696715,1.0426743378719459,0.1704697409967104,1.0426566208155572,0.17809166426148837,1.0423845936381628,0.17096613698772023,1.0450780949088088,0.17013292485027998,5.50952322880427,5.768904348214467,5e-05
2,0.9141446886318214,0.265642797259847,0.170971705463332,0.05596122927790861,0.8549241560946853,0.21509200105648985,0.14678832444401296,0.04548585394489448,1.2622903355400825,0.8551325320083404,0.14805850984058647,0.8549887345960507,0.1447059516615879,0.8549902285921909,0.1514897095461901,0.854286136229833,0.1454599411241592,0.8553217929174469,0.14482050546708775,0.5402550021807353,6.309160673618317,0.0001
3,0.7832085856777873,0.2018926926455779,0.1539690631332599,0.040156251793541,0.7644543110191142,0.17648096308962022,0.13618022942837654,0.03204312342088032,1.1091586269579912,0.7647466461235117,0.13735283311003837,0.7645230118471843,0.13398682399509618,0.7644110346458386,0.14036221388671105,0.7638560276182871,0.1351576333008115,0.7648160459645372,0.13446195374017283,0.3686176180839539,6.677779658635457,0.00015
4,0.7147697430547224,0.16871134156525452,0.14295781453537376,0.03086124823961528,0.7157425154751245,0.14729645118513943,0.1291073882987744,0.02697593098215957,1.019122285941198,0.7158311194348558,0.12985378967545858,0.7157770077196451,0.1275260480156598,0.715478375457533,0.13295863843955438,0.7152967845636701,0.12790761832443495,0.716325033239944,0.12779550961260097,0.31326914628346764,6.991050386428833,0.0002
5,0.6743890804868915,0.14202844221399213,0.13450736679901903,0.02701328804093749,0.6779975984939605,0.12256974601700278,0.12180531749593894,0.025116780309622732,0.9474894423165249,0.6785261106268268,0.12256084144393975,0.6777867713513283,0.12041046225931495,0.6772740929996993,0.12547420087566127,0.6775726266323574,0.12080355262945569,0.6786932732668346,0.12028394092141362,0.36012659072875974,7.35117826461792,0.00025
6,0.6476063058085926,0.1233270384360758,0.12724879183357699,0.025281507182259775,0.6573150046877988,0.11002081622415623,0.11709875804956421,0.02402055030086648,0.9084551292623858,0.6583525771292571,0.11795287973412844,0.6567993570978825,0.11588185088923918,0.656783039188797,0.12051746616095756,0.6566963470171369,0.11605560255074311,0.6578192069058533,0.11560320239450542,0.2804569999376933,7.631636619567871,0.0003
7,0.627387882092748,0.1133835555501901,0.12163632969740332,0.02418756904352973,0.6413298989430126,0.10491087818553692,0.1158497669624285,0.023168450224252256,0.8852589943152304,0.6420250938317487,0.11676531972311367,0.6410988460366542,0.1138935994822532,0.6408971333091769,0.1193235642628716,0.640756224450611,0.11513131049180787,0.6418179094587984,0.11443032049685208,0.25726502736409507,7.88890460729599,0.00035
8,0.611845699048682,0.10668977658412221,0.11714955088838748,0.02338436900581234,0.6293908933269661,0.1003832354631714,0.11090365401238997,0.022717308591583836,0.8633950913941113,0.6300401299913353,0.1120503547383803,0.628552593720647,0.1089442002837761,0.6296145421639889,0.11395844641759123,0.6290396501147558,0.11076112100411029,0.6295941780248193,0.10898739936103594,0.22934749921162922,8.118253521124522,0.0004
9,0.599703801276344,0.10243535865136069,0.11294929426704854,0.022922333442283522,0.6281256643084973,0.09853203187310651,0.10864811246159412,0.02231974127514734,0.8576255499183453,0.629416080501592,0.10958635415707793,0.627300694011725,0.10737857478670776,0.6278594679502895,0.11190915909911592,0.6278686980406444,0.10801533160819894,0.6280197814462941,0.10679650104544268,0.26068453788757323,8.37894377708435,0.00045000000000000004
10,0.5893730114684701,0.09915379485984409,0.10903687238977852,0.022526222220589746,0.610549384287555,0.09815874267440332,0.10728093500146395,0.02185474662216444,0.8378438085855867,0.6111081105526363,0.10805884151258201,0.6102607084008363,0.10591651883441955,0.6099607209407485,0.11043741310228539,0.6098425840574597,0.10667200715295852,0.6114691895633021,0.10570003453375129,0.28514397144317627,8.664089266459147,0.0005
11,0.580898096080554,0.09635740528391143,0.10599379266119731,0.022166598031401426,0.6098629568919482,0.09484652365795107,0.10713793643300525,0.02162111711762704,0.8334685341005317,0.6102586961238183,0.10781862961354657,0.6092189203661221,0.10585625398939905,0.6099820102265278,0.11089197662910426,0.6094057372638157,0.10647903721010875,0.6103563449081707,0.10516864452956072,0.2572054306666056,8.921296095848083,0.0004973684210526315
12,0.5732823879326414,0.09410576477854275,0.10259476804334014,0.02182665272842652,0.5977507242685035,0.09576442690403289,0.10801623894234574,0.021547001574769218,0.8230783916896514,0.5982527610297516,0.10850550643751554,0.5973173755292709,0.10650876675768253,0.5975682337649698,0.11053251191877135,0.5973365723140656,0.10779641722402876,0.5981894482321299,0.10688791746343565,0.22495746215184528,9.146254940827687,0.0004947368421052632
