epoch,train_mel_loss,train_dur_loss,train_pitch_loss,train_periodicity_loss,val_mel_loss,val_dur_loss,val_pitch_loss,val_periodicity_loss,val_total_loss,elapsed,elapsed_total,lr
1,3.116128568185985,1.1935450637837108,0.3719309188124443,0.1845299426394689,1.4894986246030295,0.16255126541062626,0.31438600854150295,0.04448001764580909,2.0109159162009678,3.9268211245536806,4.082665475209554,0.0002
2,1.1120605348880146,0.18817901850213656,0.2970832013333323,0.046647120390652906,0.9843148758359478,0.13020172173119612,0.2780546546779519,0.03928088867537931,1.431852140920475,0.9461666107177734,5.028835864861806,0.0004
3,0.9245191597546754,0.1446985947026033,0.2696736968667229,0.04127790707586954,0.8969289092421759,0.1165059123488615,0.2654279831784073,0.03795799456272,1.3168207993321646,0.8346016844113667,5.86344329516093,0.0006
4,0.8643756236230061,0.12733453571984338,0.26220657171851824,0.037961509854620774,0.9217881324594605,0.10728194578815882,0.2605080035325449,0.03492823061218324,1.3245063123923473,0.6475618561108907,6.511035621166229,0.0008
5,0.8230118900267,0.11497642701982688,0.2556570036039774,0.03373314802582659,0.8179564502661038,0.0999161217832866,0.2601745521402742,0.03141727617788415,1.2094644003675488,0.5937893072764079,7.10483078956604,0.001
6,0.7857651470998325,0.10538556961408713,0.24943822303547883,0.03196275201318707,0.8204474793074465,0.09224909503848489,0.25440694235142836,0.03019114539388782,1.1972946620912477,0.5342894713083903,7.639129304885865,0.000994871794871795
7,0.7559818788655362,0.09868007463055058,0.24244928076682487,0.030989695230953226,0.746487299973244,0.08916530881986666,0.2517641566730794,0.03129483449508044,1.1187115999612707,0.478983990351359,8.118134061495462,0.0009897435897435899
8,0.7358256934695226,0.09445126119225554,0.2372384510170574,0.03049835027153249,0.793716100913949,0.08669566433416963,0.24334764345073956,0.029549086346857913,1.153308495045716,0.4830851515134176,8.601244827111563,0.0009846153846153848
9,0.7188032796905206,0.09048641313892775,0.22985748955635601,0.029940146370245915,0.721519950673377,0.08475125104154756,0.24343492605438385,0.0292627599601373,1.0789688877294459,0.5134901642799378,9.114742823441823,0.0009794871794871795
10,0.7059098389254175,0.08704982128510722,0.22345250152785331,0.029565288401514456,0.749362388320401,0.08376297629433002,0.24624759364228327,0.028572159038872995,1.1079451172958874,0.4161542495091756,9.53090406258901,0.0009743589743589744
